keys,ko,en
CHAPTER_ACT1_TITLE,"1막 프롤로그: 운명의 만남","Act 1 Prologue: Fateful Meeting"
SPEAKER_NARRATION,나레이션,Narration
SPEAKER_SANZANG,삼장,Tang Sanzang
SPEAKER_WUKONG,손오공,Sun Wukong
SPEAKER_OLD_MONK,노승,Old Monk
SPEAKER_UNKNOWN,???,???
ACT1_PROLOGUE_001,"당나라 변경, 고요한 사원.","Tang Dynasty border, a quiet temple."
ACT1_PROLOGUE_002,"젊은 승려 삼장은 오래된 전승 하나를 접한다.","Young monk Sanzang encounters an ancient legend."
ACT1_PROLOGUE_003,"동해 너머 봉래산에서 이상 징조가 일어나고 있다.","Strange omens arise from Mount Bonglae beyond the Eastern Sea."
ACT1_PROLOGUE_004,"옛 길은 무너졌고, 그 길을 다시 열 수 있는 자는...","The old path has crumbled, and only one who can reopen it..."
ACT1_PROLOGUE_005,"오행봉에 봉인된 돌원숭이뿐이라 하더라.","Is the Stone Monkey sealed at Five Elements Peak."
ACT1_PROLOGUE_006,"돌원숭이... 손오공인가요?","The Stone Monkey... Sun Wukong?"
ACT1_PROLOGUE_007,"삼장은 동쪽으로 향하는 길을 떠난다.","Sanzang departs on a journey eastward."
ACT1_PROLOGUE_008,"산과 폐허, 요괴의 습격을 지나...","Through mountains and ruins, past yokai attacks..."
ACT1_PROLOGUE_009,"마침내 오행봉에 도착한다.","Finally arriving at Five Elements Peak."
ACT1_PROLOGUE_010,"거대한 바위 아래, 황금빛 봉인이 희미하게 빛나고 있다.","Beneath a massive boulder, a golden seal glows faintly."
ACT1_PROLOGUE_011,"이것이... 그 전설의...","This is... the legendary..."
ACT1_PROLOGUE_012,"삼장이 봉인에 손을 댄 순간,","The moment Sanzang touches the seal,"
ACT1_PROLOGUE_013,"천지가 진동하고 바위가 갈라진다.","Heaven and earth tremble, and the boulder splits."
ACT1_PROLOGUE_014,"...누가, 나를 깨웠나.","...Who awakened me."
ACT1_PROLOGUE_015,"먼지 속에서 한 존재가 일어난다.","From the dust, a being rises."
ACT1_PROLOGUE_016,"네 녀석인가. 봉인을 푼 게.","So it was you. The one who broke the seal."
ACT1_PROLOGUE_017,"당신이... 손오공?","You are... Sun Wukong?"
ACT1_PROLOGUE_018,"흐음... 제법이군.","Hmm... Not bad."
ACT1_PROLOGUE_019,"이왕 풀어놨으니, 책임은 져야지.","Since you've freed me, you must take responsibility."
ACT1_PROLOGUE_020,"이렇게 삼장과 손오공의 여정이 시작된다.","Thus begins the journey of Sanzang and Sun Wukong."
UI_TOUCH_HINT,"터치하여 빠르게 진행","Touch to speed up"
UI_TOUCH_START,"터치하여 시작하기","Touch to start"
LOC_BLUEWOOD_VILLAGE,청목진,Bluewood Village
LOC_BLUEWOOD_VILLAGE_DESC,"작은 마을이 조용히 서 있다. 밤마다 이상한 소문이 돈다.","A small village sits quietly. Strange rumors circulate every night."
LOC_ELEMENTAL_SLOPE,오행산 중턱,Elemental Peak Slope
LOC_ELEMENTAL_SLOPE_DESC,"산길이 험해진다. 바위귀신이 길을 막고 있다.","The mountain path becomes steep. A rock spirit blocks the way."
LOC_CHEONGMOK,청목진,Cheongmok Village
LOC_CHEONGMOK_DESC,"작은 마을이 조용히 서 있다.","A small village sits quietly."
LOC_MOUNTAIN_ENTRANCE,산길입구,Mountain Entrance
LOC_MOUNTAIN_ENTRANCE_DESC,"마을에서 이어지는 산길의 시작.","The start of the mountain path from the village."
LOC_MOUNTAIN_MID,산길중턱,Mountain Midway
LOC_MOUNTAIN_MID_DESC,"산 중턱에 작은 제단이 보인다.","A small shrine is visible halfway up the mountain."
LOC_SHRINE,오행제단,Five Elements Shrine
LOC_SHRINE_DESC,"오색 매화가 심긴 오래된 제단.","An ancient shrine with five-colored plum blossoms."
LOC_SEAL_STONE,봉인석,Seal Stone
LOC_SEAL_STONE_DESC,"거대한 바위 아래 황금빛 봉인이 빛난다.","A golden seal glows beneath a massive boulder."
LOC_FOREST_ENTRANCE,연등숲입구,Lantern Forest Entrance
LOC_FOREST_ENTRANCE_DESC,"화령들이 춤추는 숲의 입구.","The entrance to a forest where fire spirits dance."
LOC_FOREST_DEEP,연등숲심부,Lantern Forest Depths
LOC_FOREST_DEEP_DESC,"등롱이 희미하게 빛나는 숲의 깊은 곳.","Deep in the forest where lanterns glow faintly."
INTERACT_TAVERN,주점,Tavern
INTERACT_GENERAL_STORE,잡화상,General Store
INTERACT_WELL,우물,Well
INTERACT_ROCK_SPIRIT,바위귀신,Rock Spirit
INTERACT_DEAD_TREE,죽은 나무,Dead Tree
INTERACT_CLEARED_PATH,뚫린 길,Cleared Path
INTERACT_HIDDEN_PATH,숨은 길,Hidden Path
